order_id,customer_id,product_id,order_date,ship_date,quantity,discount,sales_channel
ORD00001,CUST481,PROD010,2024-01-01,2024-01-02,1,0.1,Retail Store
ORD00002,CUST118,PROD019,2024-01-01,2024-01-04,1,0.0,Online
ORD00003,CUST282,PROD020,2024-01-01,2024-01-04,1,0.0,Mobile App
ORD00004,CUST226,PROD015,2024-01-01,2024-01-05,1,0.15,Online
ORD00005,CUST496,PROD020,2024-01-01,2024-01-05,1,0.1,Online
ORD00006,CUST333,PROD015,2024-01-01,2024-01-03,3,0.0,Online
ORD00007,CUST200,PROD002,2024-01-01,2024-01-06,1,0.2,Retail Store
ORD00008,CUST373,PROD007,2024-01-01,2024-01-04,4,0.0,Online
ORD00009,CUST315,PROD015,2024-01-01,2024-01-04,2,0.1,Mobile App
ORD00010,CUST216,PROD016,2024-01-01,2024-01-05,2,0.1,Retail Store
ORD00011,CUST386,PROD008,2024-01-02,2024-01-03,2,0.1,Mobile App
ORD00012,CUST333,PROD007,2024-01-02,2024-01-05,2,0.1,Mobile App
ORD00013,CUST149,PROD007,2024-01-02,2024-01-03,1,0.15,Online
ORD00014,CUST223,PROD003,2024-01-02,2024-01-04,4,0.15,Mobile App
ORD00015,CUST287,PROD015,2024-01-03,2024-01-07,2,0.15,Online
ORD00016,CUST139,PROD010,2024-01-03,2024-01-04,1,0.15,Mobile App
ORD00017,CUST408,PROD011,2024-01-03,2024-01-08,1,0.0,Online
ORD00018,CUST007,PROD003,2024-01-03,2024-01-09,1,0.05,Online
ORD00019,CUST246,PROD008,2024-01-03,2024-01-07,2,0.1,Online
ORD00020,CUST148,PROD013,2024-01-03,2024-01-07,1,0.2,Online
ORD00021,CUST212,PROD007,2024-01-04,2024-01-10,4,0.2,Mobile App
ORD00022,CUST088,PROD017,2024-01-04,2024-01-09,1,0.0,Online
ORD00023,CUST205,PROD010,2024-01-04,2024-01-09,2,0.2,Mobile App
ORD00024,CUST144,PROD004,2024-01-04,2024-01-06,2,0.05,Retail Store
